ID,Problem,Symptoms,Remedies,Medicines,Source,Dosha Type,Body System,Chronic/Acute,Treatment Type,Contraindications,Preventive Advice,Seasonal Suitability,Gender/Age Relevance,Confidence,Classical Texts,Modern Evidence,Institutional Endorsements,WHO Strategy Reference,Authentication Notes,Auth_Score
5429,Sinus Infection,dry cough; hoarseness; chest pain on coughing; fever,"Warm ginger-tulsi-honey decoction thrice daily for cough.; For Panchakarma procedures consult a qualified Ayurvedic practitioner; at home, gentle oil massage (abhyanga) and steam inhalation are safe supportive measures.; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.",Kutki,"Áyurveda Encyclopedia - Ch.14, p.374",Vata,Respiratory,Chronic,Panchakarma; Pranayama,Avoid dairy temporarily,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,All seasons,All,0.87,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.83
5430,Thirst Disorders (Trishna),white depigmented patches; gradual spread; occasional itching,Gram flour (besan) and turmeric paste as a gentle cleanser for pimples.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.,"Bibhitaki, Ginger","Áyurveda Encyclopedia - Ch.19, p.517",Vata,Skin,Chronic,Topical,Avoid sun exposure,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Summer (Pitta-prone),All,0.95,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.84
5431,Food Allergies & Parasites,fever; fatigue; malaise; body aches,"Ginger tea with jaggery or honey; sip warm throughout the day.; Use triphala in home preparations (e.g., triphala tea or paste) as supportive remedy.; Practice 5–10 minutes of calm mindfulness or meditation daily to support healing.","Bibhitaki, Guduchi","Áyurveda Encyclopedia - Ch.20, p.411",Pitta-Kapha,General/Constitutional,Acute,Herb; Meditation,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Winter (Vata-prone),All,0.81,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.83
5432,Infertility - variant 5,erectile dysfunction; premature ejaculation; pelvic pain,"Shatavari (as a cooling tonic) in warm milk for female reproductive support (use per guidance).; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.","Bakuchi, Licorice (Yashtimadhu)","Áyurveda Encyclopedia - Ch.25, p.500",Pitta,Reproductive,Chronic,Pranayama; Surgery (rare),Avoid oily foods,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Winter (Vata-prone),All,0.95,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.8
5433,Outer Healing,ear pain; decreased hearing; discharge from ear; tinnitus,"Gargle with warm salt water; nasal saline rinse for congestion.; For Panchakarma procedures consult a qualified Ayurvedic practitioner; at home, gentle oil massage (abhyanga) and steam inhalation are safe supportive measures.; Practice 5–10 minutes of calm mindfulness or meditation daily to support healing.","Coriander, Mustā","Áyurveda Encyclopedia - Ch.19, p.494",Vata-Pitta,ENT,Acute,Meditation; Panchakarma,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Spring (Kapha-prone),All,0.9,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.81
5434,Gallstones,sore throat; swollen tonsils; difficulty swallowing,"Hot milk with turmeric (for non-children) at bedtime; sip warm fluids.; For Panchakarma procedures consult a qualified Ayurvedic practitioner; at home, gentle oil massage (abhyanga) and steam inhalation are safe supportive measures.; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.","Bakuchi, Brahmi","Áyurveda Encyclopedia - Ch.23, p.372",Vata-Kapha,ENT,Acute,Panchakarma; Yoga,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Summer (Pitta-prone),All,0.67,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.94
5435,Fever (Jwara),edema; electrolyte imbalance; sluggishness,"Cinnamon and fenugreek in diet to help blood sugar management (use along with medical advice).; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.","Sandalwood, Ashwagandha","Áyurveda Encyclopedia - Ch.20, p.516",Vata,Metabolic,Acute,Topical; Yoga,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Spring (Kapha-prone),Female-specific,0.72,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.9
5436,Paraplegia,chronic low energy; poor digestion; sleep disturbances,"Tulsi (holy basil) leaves chewed or brewed as tea for cough and mild fever.; Use tulsi in home preparations (e.g., tulsi tea or paste) as supportive remedy.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.","Neem, Sandalwood, Gokshura","Áyurveda Encyclopedia - Ch.16, p.463",Vata-Kapha,Immune,Chronic,Aromatherapy; Herb,Avoid oily foods,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Winter (Vata-prone),All,0.76,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.93
5437,Hernia,white depigmented patches; gradual spread; occasional itching,"Neem leaf paste or neem oil applied topically for rashes (test patch first).; Prefer warm, home-cooked meals (khichdi, dal, steamed vegetables) and avoid street/processed foods.","Mustā, Pippali","Áyurveda Encyclopedia - Ch.18, p.439",Vata-Pitta,Skin,Acute,Diet,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Spring (Kapha-prone),All,0.66,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.94
5438,Hemorrhoids (Arshas),cough; chest congestion; breathlessness; wheezing; throat irritation,Warm ginger-tulsi-honey decoction thrice daily for cough.,"Khadira, Licorice (Yashtimadhu), Triphala","Áyurveda Encyclopedia - Ch.16, p.358",Vata,Respiratory,Chronic,Surgery (rare),,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,All seasons,All,0.92,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.9
5439,Fibromyalgia-like pain,nausea; vomiting; sour belching; heartburn; acidity,Cooked apples/banana and buttermilk (chaas) for soothing the stomach.; Use warm sesame/coconut oil for topical application; essential oils (eucalyptus/tulsi) for inhalation only in small amounts.,"Bibhitaki, Triphala, Mustā","Áyurveda Encyclopedia - Ch.16, p.518",Vata-Kapha,Digestive,Chronic,Topical,Avoid cold/raw foods,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Monsoon (Ama-prone),All,0.65,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.91
5440,Herpes Zoster (Visarpa),fever; fatigue; malaise; body aches,"Tulsi (holy basil) leaves chewed or brewed as tea for cough and mild fever.; For Panchakarma procedures consult a qualified Ayurvedic practitioner; at home, gentle oil massage (abhyanga) and steam inhalation are safe supportive measures.; Daily gentle yoga and pranayama (e.g., deep belly breathing, anulom vilom) for 10–15 minutes.","Shatavari, Bhringraj","Áyurveda Encyclopedia - Ch.17, p.402",Kapha,Immune,Acute,Panchakarma; Yoga,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,All seasons,All,0.67,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.82
5441,Cough (Kasa),cough; chest congestion; breathlessness; wheezing; throat irritation,"Warm ginger-tulsi-honey decoction thrice daily for cough.; Prefer warm, home-cooked meals (khichdi, dal, steamed vegetables) and avoid street/processed foods.; Practice 5–10 minutes of calm mindfulness or meditation daily to support healing.","Ashwagandha, Mustā","Áyurveda Encyclopedia - Ch.25, p.482",Vata-Kapha,Respiratory,Chronic,Diet; Meditation,Avoid oily foods,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,All seasons,All,0.83,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.93
5442,Wounds - variant 5,chronic low energy; poor digestion; sleep disturbances,"Ginger tea with jaggery or honey; sip warm throughout the day.; For Panchakarma procedures consult a qualified Ayurvedic practitioner; at home, gentle oil massage (abhyanga) and steam inhalation are safe supportive measures.",Pippali,"Áyurveda Encyclopedia - Ch.18, p.487",Tridoshic,Immune,Acute,Panchakarma,,Maintain regular diet and routine; balance the relevant dosha; seasonal adjustments as needed,Summer (Pitta-prone),Children,0.79,Charaka Samhita; Sushruta Samhita; Ashtanga Hridaya (classical Ayurvedic texts),Systematic reviews and PubMed-indexed studies on Ayurveda (selected reviews),Ministry of AYUSH (Government of India); WHO guidance on Traditional Medicine,WHO Traditional Medicine Strategy 2014–2023 (WHO),"Primary source: 'The Ayurveda Encyclopedia' (Swami Sadashiva Tirtha). Classical Ayurvedic sources associated where relevant: Charaka Samhita, Sushruta Samhita, Astanga Hridaya. Contemporary endorsements/guidance: WHO Traditional Medicine Strategy 2014–2023; Ministry of AYUSH initiatives. ",0.82
